,PROLIFIC_PID,ExplanationPair,Need_for_Cognition,Need_for_closure,Susceptibility_to_persuasion,Skepticism,AI_Expertise,Domain,flipped_dim,MetricType,Evaluation
12114,58cd0bc2a47dbb000171dc8b,000100v001100,0.75,0.5,0.9375,0.875,1.0,low,Structure,Trustworthiness,0
12311,58cd0bc2a47dbb000171dc8b,000100v001100,0.75,0.5,0.9375,0.875,1.0,low,Structure,Transparency,0
12508,58cd0bc2a47dbb000171dc8b,000100v001100,0.75,0.5,0.9375,0.875,1.0,low,Structure,Usefulness,0
6598,58cd0bc2a47dbb000171dc8b,000110v001110,0.75,0.5,0.9375,0.875,1.0,low,Structure,Trustworthiness,0
6795,58cd0bc2a47dbb000171dc8b,000110v001110,0.75,0.5,0.9375,0.875,1.0,low,Structure,Transparency,0
6992,58cd0bc2a47dbb000171dc8b,000110v001110,0.75,0.5,0.9375,0.875,1.0,low,Structure,Usefulness,0
31814,58cd0bc2a47dbb000171dc8b,001100v011100,0.75,0.5,0.9375,0.875,1.0,low,Length,Trustworthiness,1
32011,58cd0bc2a47dbb000171dc8b,001100v011100,0.75,0.5,0.9375,0.875,1.0,low,Length,Transparency,1
32208,58cd0bc2a47dbb000171dc8b,001100v011100,0.75,0.5,0.9375,0.875,1.0,low,Length,Usefulness,1
47574,58cd0bc2a47dbb000171dc8b,010100v011100,0.75,0.5,0.9375,0.875,1.0,low,Structure,Trustworthiness,1
47771,58cd0bc2a47dbb000171dc8b,010100v011100,0.75,0.5,0.9375,0.875,1.0,low,Structure,Transparency,1
47968,58cd0bc2a47dbb000171dc8b,010100v011100,0.75,0.5,0.9375,0.875,1.0,low,Structure,Usefulness,1
57030,58cd0bc2a47dbb000171dc8b,011100v011110,0.75,0.5,0.9375,0.875,1.0,low,Detail,Trustworthiness,0
57227,58cd0bc2a47dbb000171dc8b,011100v011110,0.75,0.5,0.9375,0.875,1.0,low,Detail,Transparency,0
57424,58cd0bc2a47dbb000171dc8b,011100v011110,0.75,0.5,0.9375,0.875,1.0,low,Detail,Usefulness,0
72002,58cd0bc2a47dbb000171dc8b,100001v100101,0.75,0.5,0.9375,0.875,1.0,high,Formality,Trustworthiness,0
72199,58cd0bc2a47dbb000171dc8b,100001v100101,0.75,0.5,0.9375,0.875,1.0,high,Formality,Transparency,0
72396,58cd0bc2a47dbb000171dc8b,100001v100101,0.75,0.5,0.9375,0.875,1.0,high,Formality,Usefulness,0
66486,58cd0bc2a47dbb000171dc8b,100111v101111,0.75,0.5,0.9375,0.875,1.0,high,Structure,Trustworthiness,0
66683,58cd0bc2a47dbb000171dc8b,100111v101111,0.75,0.5,0.9375,0.875,1.0,high,Structure,Transparency,0
66880,58cd0bc2a47dbb000171dc8b,100111v101111,0.75,0.5,0.9375,0.875,1.0,high,Structure,Usefulness,0
101158,58cd0bc2a47dbb000171dc8b,101000v111000,0.75,0.5,0.9375,0.875,1.0,high,Length,Trustworthiness,1
101355,58cd0bc2a47dbb000171dc8b,101000v111000,0.75,0.5,0.9375,0.875,1.0,high,Length,Transparency,1
101552,58cd0bc2a47dbb000171dc8b,101000v111000,0.75,0.5,0.9375,0.875,1.0,high,Length,Usefulness,1
86974,58cd0bc2a47dbb000171dc8b,101101v101111,0.75,0.5,0.9375,0.875,1.0,high,Detail,Trustworthiness,1
87171,58cd0bc2a47dbb000171dc8b,101101v101111,0.75,0.5,0.9375,0.875,1.0,high,Detail,Transparency,1
87368,58cd0bc2a47dbb000171dc8b,101101v101111,0.75,0.5,0.9375,0.875,1.0,high,Detail,Usefulness,1
110614,58cd0bc2a47dbb000171dc8b,110100v111100,0.75,0.5,0.9375,0.875,1.0,high,Structure,Trustworthiness,1
110811,58cd0bc2a47dbb000171dc8b,110100v111100,0.75,0.5,0.9375,0.875,1.0,high,Structure,Transparency,1
111008,58cd0bc2a47dbb000171dc8b,110100v111100,0.75,0.5,0.9375,0.875,1.0,high,Structure,Usefulness,1
18475,59b5a275c05bb50001eb3c4b,000010v010010,0.85,0.5625,0.4375,0.75,0.4375,low,Length,Trustworthiness,1
18672,59b5a275c05bb50001eb3c4b,000010v010010,0.85,0.5625,0.4375,0.75,0.4375,low,Length,Transparency,1
18869,59b5a275c05bb50001eb3c4b,000010v010010,0.85,0.5625,0.4375,0.75,0.4375,low,Length,Usefulness,1
33447,59b5a275c05bb50001eb3c4b,001001v001011,0.85,0.5625,0.4375,0.75,0.4375,low,Detail,Trustworthiness,1
33644,59b5a275c05bb50001eb3c4b,001001v001011,0.85,0.5625,0.4375,0.75,0.4375,low,Detail,Transparency,1
33841,59b5a275c05bb50001eb3c4b,001001v001011,0.85,0.5625,0.4375,0.75,0.4375,low,Detail,Usefulness,1
32659,59b5a275c05bb50001eb3c4b,001010v001011,0.85,0.5625,0.4375,0.75,0.4375,low,Persuasiveness,Trustworthiness,0
32856,59b5a275c05bb50001eb3c4b,001010v001011,0.85,0.5625,0.4375,0.75,0.4375,low,Persuasiveness,Transparency,0
33053,59b5a275c05bb50001eb3c4b,001010v001011,0.85,0.5625,0.4375,0.75,0.4375,low,Persuasiveness,Usefulness,0
53147,59b5a275c05bb50001eb3c4b,010001v011001,0.85,0.5625,0.4375,0.75,0.4375,low,Structure,Trustworthiness,1
53344,59b5a275c05bb50001eb3c4b,010001v011001,0.85,0.5625,0.4375,0.75,0.4375,low,Structure,Transparency,1
53541,59b5a275c05bb50001eb3c4b,010001v011001,0.85,0.5625,0.4375,0.75,0.4375,low,Structure,Usefulness,0
44479,59b5a275c05bb50001eb3c4b,010100v010101,0.85,0.5625,0.4375,0.75,0.4375,low,Persuasiveness,Trustworthiness,1
44676,59b5a275c05bb50001eb3c4b,010100v010101,0.85,0.5625,0.4375,0.75,0.4375,low,Persuasiveness,Transparency,0
44873,59b5a275c05bb50001eb3c4b,010100v010101,0.85,0.5625,0.4375,0.75,0.4375,low,Persuasiveness,Usefulness,1
77575,59b5a275c05bb50001eb3c4b,100001v100011,0.85,0.5625,0.4375,0.75,0.4375,high,Detail,Trustworthiness,1
77772,59b5a275c05bb50001eb3c4b,100001v100011,0.85,0.5625,0.4375,0.75,0.4375,high,Detail,Transparency,1
77969,59b5a275c05bb50001eb3c4b,100001v100011,0.85,0.5625,0.4375,0.75,0.4375,high,Detail,Usefulness,1
67331,59b5a275c05bb50001eb3c4b,100111v110111,0.85,0.5625,0.4375,0.75,0.4375,high,Length,Trustworthiness,1
67528,59b5a275c05bb50001eb3c4b,100111v110111,0.85,0.5625,0.4375,0.75,0.4375,high,Length,Transparency,1
67725,59b5a275c05bb50001eb3c4b,100111v110111,0.85,0.5625,0.4375,0.75,0.4375,high,Length,Usefulness,1
110671,59b5a275c05bb50001eb3c4b,110100v111100,0.85,0.5625,0.4375,0.75,0.4375,high,Structure,Trustworthiness,1
110868,59b5a275c05bb50001eb3c4b,110100v111100,0.85,0.5625,0.4375,0.75,0.4375,high,Structure,Transparency,1
111065,59b5a275c05bb50001eb3c4b,110100v111100,0.85,0.5625,0.4375,0.75,0.4375,high,Structure,Usefulness,1
103579,59b5a275c05bb50001eb3c4b,110011v110111,0.85,0.5625,0.4375,0.75,0.4375,high,Formality,Trustworthiness,1
103776,59b5a275c05bb50001eb3c4b,110011v110111,0.85,0.5625,0.4375,0.75,0.4375,high,Formality,Transparency,1
103973,59b5a275c05bb50001eb3c4b,110011v110111,0.85,0.5625,0.4375,0.75,0.4375,high,Formality,Usefulness,1
120127,59b5a275c05bb50001eb3c4b,111100v111110,0.85,0.5625,0.4375,0.75,0.4375,high,Detail,Trustworthiness,1
120324,59b5a275c05bb50001eb3c4b,111100v111110,0.85,0.5625,0.4375,0.75,0.4375,high,Detail,Transparency,1
120521,59b5a275c05bb50001eb3c4b,111100v111110,0.85,0.5625,0.4375,0.75,0.4375,high,Detail,Usefulness,1
18431,5a0c4184fe645f0001e9f5dd,000010v010010,0.45,0.5625,0.625,0.6875,0.625,low,Length,Trustworthiness,1
18628,5a0c4184fe645f0001e9f5dd,000010v010010,0.45,0.5625,0.625,0.6875,0.625,low,Length,Transparency,1
18825,5a0c4184fe645f0001e9f5dd,000010v010010,0.45,0.5625,0.625,0.6875,0.625,low,Length,Usefulness,1
7399,5a0c4184fe645f0001e9f5dd,000110v010110,0.45,0.5625,0.625,0.6875,0.625,low,Length,Trustworthiness,1
7596,5a0c4184fe645f0001e9f5dd,000110v010110,0.45,0.5625,0.625,0.6875,0.625,low,Length,Transparency,1
7793,5a0c4184fe645f0001e9f5dd,000110v010110,0.45,0.5625,0.625,0.6875,0.625,low,Length,Usefulness,1
1883,5a0c4184fe645f0001e9f5dd,000101v000111,0.45,0.5625,0.625,0.6875,0.625,low,Detail,Trustworthiness,1
2080,5a0c4184fe645f0001e9f5dd,000101v000111,0.45,0.5625,0.625,0.6875,0.625,low,Detail,Transparency,1
2277,5a0c4184fe645f0001e9f5dd,000101v000111,0.45,0.5625,0.625,0.6875,0.625,low,Detail,Usefulness,1
31827,5a0c4184fe645f0001e9f5dd,001100v011100,0.45,0.5625,0.625,0.6875,0.625,low,Length,Trustworthiness,0
32024,5a0c4184fe645f0001e9f5dd,001100v011100,0.45,0.5625,0.625,0.6875,0.625,low,Length,Transparency,0
32221,5a0c4184fe645f0001e9f5dd,001100v011100,0.45,0.5625,0.625,0.6875,0.625,low,Length,Usefulness,0
44435,5a0c4184fe645f0001e9f5dd,010100v010101,0.45,0.5625,0.625,0.6875,0.625,low,Persuasiveness,Trustworthiness,1
44632,5a0c4184fe645f0001e9f5dd,010100v010101,0.45,0.5625,0.625,0.6875,0.625,low,Persuasiveness,Transparency,0
44829,5a0c4184fe645f0001e9f5dd,010100v010101,0.45,0.5625,0.625,0.6875,0.625,low,Persuasiveness,Usefulness,0
76743,5a0c4184fe645f0001e9f5dd,100010v100011,0.45,0.5625,0.625,0.6875,0.625,high,Persuasiveness,Trustworthiness,1
76940,5a0c4184fe645f0001e9f5dd,100010v100011,0.45,0.5625,0.625,0.6875,0.625,high,Persuasiveness,Transparency,1
77137,5a0c4184fe645f0001e9f5dd,100010v100011,0.45,0.5625,0.625,0.6875,0.625,high,Persuasiveness,Usefulness,1
79107,5a0c4184fe645f0001e9f5dd,100011v110011,0.45,0.5625,0.625,0.6875,0.625,high,Length,Trustworthiness,1
79304,5a0c4184fe645f0001e9f5dd,100011v110011,0.45,0.5625,0.625,0.6875,0.625,high,Length,Transparency,1
79501,5a0c4184fe645f0001e9f5dd,100011v110011,0.45,0.5625,0.625,0.6875,0.625,high,Length,Usefulness,1
98019,5a0c4184fe645f0001e9f5dd,101000v101010,0.45,0.5625,0.625,0.6875,0.625,high,Detail,Trustworthiness,0
98216,5a0c4184fe645f0001e9f5dd,101000v101010,0.45,0.5625,0.625,0.6875,0.625,high,Detail,Transparency,0
98413,5a0c4184fe645f0001e9f5dd,101000v101010,0.45,0.5625,0.625,0.6875,0.625,high,Detail,Usefulness,0
96443,5a0c4184fe645f0001e9f5dd,101001v101011,0.45,0.5625,0.625,0.6875,0.625,high,Detail,Trustworthiness,0
96640,5a0c4184fe645f0001e9f5dd,101001v101011,0.45,0.5625,0.625,0.6875,0.625,high,Detail,Transparency,0
96837,5a0c4184fe645f0001e9f5dd,101001v101011,0.45,0.5625,0.625,0.6875,0.625,high,Detail,Usefulness,0
90927,5a0c4184fe645f0001e9f5dd,101110v111110,0.45,0.5625,0.625,0.6875,0.625,high,Length,Trustworthiness,0
91124,5a0c4184fe645f0001e9f5dd,101110v111110,0.45,0.5625,0.625,0.6875,0.625,high,Length,Transparency,0
91321,5a0c4184fe645f0001e9f5dd,101110v111110,0.45,0.5625,0.625,0.6875,0.625,high,Length,Usefulness,0
32679,5ae3003bca00550001e4a4b7,001010v001011,0.65,0.5625,0.625,0.75,0.625,low,Persuasiveness,Trustworthiness,0
32876,5ae3003bca00550001e4a4b7,001010v001011,0.65,0.5625,0.625,0.75,0.625,low,Persuasiveness,Transparency,0
33073,5ae3003bca00550001e4a4b7,001010v001011,0.65,0.5625,0.625,0.75,0.625,low,Persuasiveness,Usefulness,0
28739,5ae3003bca00550001e4a4b7,001100v001101,0.65,0.5625,0.625,0.75,0.625,low,Persuasiveness,Trustworthiness,1
28936,5ae3003bca00550001e4a4b7,001100v001101,0.65,0.5625,0.625,0.75,0.625,low,Persuasiveness,Transparency,1
29133,5ae3003bca00550001e4a4b7,001100v001101,0.65,0.5625,0.625,0.75,0.625,low,Persuasiveness,Usefulness,1
50803,5ae3003bca00550001e4a4b7,010000v010010,0.65,0.5625,0.625,0.75,0.625,low,Detail,Trustworthiness,0
